        ID       SIRE        DAM
    TV1092           *          *
    TV1093           *          *
    TV1099           *          *
    TV1100           *          *
    TV1101           *          *
    TV1102           *          *
    TV1103           *          *
    TV1104           *          *
    TV1107           *          *
    TV1109           *          *
    TV1110           *          *
    TV1111           *          *
    TV1112           *          *
    TV1113           *          *
    TV1114           *          *
    TV1115           *          *
    TV1116           *          *
    TV1117           *          *
    TV1118           *          *
    TV1119           *          *
    TV1120      TV6710          *
    TV1121           *          *
    TV1122           *          *
    TV1127           *          *
    TV1132           *          *
    TV1133           *          *
    TV1134           *          *
    TV1136           *          *
    TV1137           *          *
    TV1141           *          *
    TV1144           *          *
    TV1147           *          *
    TV1151           *          *
    TV1157           *          *
    TV1161           *          *
    TV1162           *          *
    TV1163           *          *
    TV1164      TV1174          *
    TV1165           *          *
    TV1171           *          *
    TV1174           *          *
    TV1178           *          *
    TV1179           *          *
    TV1182           *          *
    TV1183           *          *
    TV1184           *          *
    TV1185           *          *
    TV1186           *          *
    TV1189           *          *
    TV1190           *          *
    TV1191           *          *
    TV1193           *          *
    TV1194           *          *
    TV1196           *          *
    TV1201           *          *
    TV1208           *          *
    TV1216           *          *
    TV1218           *          *
    TV1219           *          *
    TV1220           *          *
    TV1221           *          *
    TV1222           *          *
    TV1225           *          *
    TV1227           *          *
    TV1229           *          *
    TV1230           *          *
    TV1235           *          *
    TV1236           *          *
    TV1239           *          *
    TV1243           *          *
    TV1244           *          *
    TV1253           *          *
    TV1254           *          *
    TV1255           *          *
    TV1256           *          *
    TV1258           *          *
    TV1259           *          *
    TV1260           *          *
    TV1263           *          *
    TV1265           *          *
    TV1267           *          *
    TV1268           *          *
    TV1271           *          *
    TV1273           *          *
    TV1281      TV0610          *
    TV1283           *          *
    TV1288           *          *
    TV1289           *          *
    TV1296           *          *
    TV1297           *          *
    TV1303           *          *
    TV1306           *          *
    TV1318           *          *
    TV1321           *          *
    TV1323           *          *
    TV1327           *          *
    TV1329           *          *
    TV1333           *          *
    TV1336           *          *
    TV1340      TV0204          *
    TV1341           *          *
    TV1344           *          *
    TV1345      TV1321          *
    TV1348           *          *
    TV1349           *          *
    TV1354           *          *
    TV1355           *          *
    TV1357           *          *
    TV1370           *          *
    TV1400           *          *
    TV1401           *          *
    TV1403           *          *
    TV1404           *          *
    TV1408           *          *
    TV1410           *          *
    TV1414           *          *
    TV1416           *          *
    TV1417           *          *
    TV1419           *          *
    TV1421           *          *
    TV1422           *          *
    TV1423           *          *
    TV1430           *          *
    TV1431           *          *
    TV1500           *          *
    TV1503           *          *
    TV1505           *          *
    TV1506           *          *
    TV1507           *          *
    TV1508           *          *
    TV1509           *          *
    TV1511           *          *
   TV1511A           *          *
    TV1513           *          *
    TV1517           *          *
    TV1518           *          *
    TV1519           *          *
    TV1520           *          *
    TV1521           *          *
    TV2003           *          *
    TV2004           *          *
    TV2005           *          *
    TV2013           *          *
    TV2017           *          *
    TV2026           *          *
    TV2030           *          *
    TV2031           *          *
    TV2032           *          *
    TV2033           *          *
    TV2034           *          *
    TV2035           *          *
    TV2041           *          *
    TV2048           *          *
    TV2053           *          *
    TV2055           *          *
    TV2060           *          *
    TV2062           *          *
    TV2064           *          *
    TV2065           *          *
    TV2066           *          *
    TV2068           *          *
    TV2069           *          *
    TV2071           *          *
    TV2077           *          *
    TV2078           *          *
    TV2080           *          *
    TV2086           *          *
    TV2090           *          *
    TV2252           *          *
    TV2253           *          *
    TV2254           *          *
    TV2255           *          *
    TV2257           *          *
    TV2258           *          *
    TV2259           *          *
    TV2261           *          *
    TV2265           *          *
    TV2268           *          *
    TV2269           *          *
    TV2271           *          *
    TV2272           *          *
    TV2273           *          *
    TV2275           *          *
    TV2277           *          *
    TV2280           *          *
    TV2281           *          *
    TV2282           *          *
    TV2283           *          *
    TV2284           *          *
    TV2285           *          *
    TV2286           *          *
    TV2288           *          *
    TV2290           *          *
    TV2292           *          *
    TV2293           *          *
    TV2295           *          *
    TV2296           *          *
    TV2297           *          *
    TV2298           *          *
    TV2299           *          *
    TV2301           *          *
    TV2302           *          *
    TV2304           *          *
    TV2501           *          *
    TV2502           *          *
    TV2503           *          *
    TV2504           *          *
    TV2506           *          *
    TV2508           *          *
    TV2511           *          *
    TV2514           *          *
    TV2515           *          *
    TV2517           *          *
    TV2518           *          *
    TV2519           *          *
    TV2520           *          *
    TV2522           *          *
    TV2523           *          *
    TV2524           *          *
    TV2525      TV2524     TV2524
    TV2527           *          *
    TV2529           *          *
    TV2530           *          *
    TV2753           *          *
    TV2755           *          *
    TV2757           *          *
    TV2759           *          *
    TV2762           *          *
    TV2764           *          *
    TV2766           *          *
    TV2770           *          *
    TV2772           *          *
    TV2773           *          *
    TV2774           *          *
    TV2775           *          *
    TV2780           *          *
    TV2781           *          *
    TV2782           *          *
    TV2783           *          *
    TV2784           *          *
    TV2788           *          *
    TV2789           *          *
    TV2790           *          *
    TV2792           *          *
    TV2795           *          *
    TV2796           *          *
    TV2797           *          *
    TV2798           *          *
    TV2804           *          *
    TV2806           *          *
    TV2808           *          *
    TV2810           *          *
    TV2811           *          *
    TV2812           *          *
    TV2813           *          *
    TV3001           *          *
    TV3002           *          *
    TV3003           *          *
    TV3005           *          *
    TV3006           *          *
    TV3007           *          *
    TV3008      TV3010          *
    TV3009           *          *
    TV3010      TV3020          *
    TV3011           *          *
    TV3012           *          *
    TV3013           *          *
    TV3014           *          *
    TV3015           *          *
    TV3016           *          *
    TV3017           *          *
    TV3018           *          *
    TV3019           *          *
    TV3020           *          *
    TV3021           *          *
    TV3022           *          *
    TV3023           *          *
    TV3024           *          *
    TV3025           *          *
    TV3026      TV3036     TV3030
    TV3027      TV3030          *
    TV3028           *          *
    TV3029      TV3026          *
    TV3030           *          *
    TV3031           *          *
    TV3032           *          *
    TV3033           *          *
    TV3035           *          *
    TV3036           *          *
    TV3037           *          *
    TV3038           *          *
    TV3041           *          *
    TV3045           *          *
    TV3046           *          *
    TV3047           *          *
    TV3048           *          *
    TV3049           *          *
    TV3050      TV3055          *
    TV3051           *          *
    TV3052           *          *
    TV3053           *          *
    TV3054           *          *
    TV3055           *          *
    TV3056           *          *
    TV3201           *          *
    TV3202           *          *
    TV3203      TV3202          *
    TV3204           *          *
    TV3205           *          *
    TV3206           *          *
    TV3208           *          *
    TV3209           *          *
    TV3210           *          *
