Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Jan  4 02:20:25 2025


*** MCMC Parameters ***

Seed                         : 1735982405
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 91804
  Initial temperature c0     : 103.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 50000000
Iterations                   : 1215752192
Sample frequency             : 1000
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 60000
  Nmmax                      : 60000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |         82 |   22308292 |  -3456.302 |  -4073.550 |  133.688 |   32.488 |  0.63 |   0.478 |   0.478 |      0 |
 |         83 |   22583703 |  -3456.302 |  -4114.723 |  116.981 |   32.239 |  0.62 |   0.417 |   0.417 |      0 |
 |         84 |   22859114 |  -3456.302 |  -4023.888 |   92.541 |   31.959 |  0.64 |   0.412 |   0.412 |      0 |
 |         85 |   23134525 |  -3456.302 |  -3995.394 |   97.138 |   31.612 |  0.65 |   0.386 |   0.386 |      0 |
 |         86 |   23409936 |  -3456.302 |  -4154.986 |  170.994 |   31.289 |  0.62 |   0.580 |   0.580 |      0 |
 |         87 |   23685347 |  -3456.302 |  -4053.613 |  107.203 |   31.108 |  0.63 |   0.464 |   0.464 |      0 |
 |         88 |   23960758 |  -3456.302 |  -4055.660 |   87.885 |   30.824 |  0.63 |   0.471 |   0.471 |      0 |
 |         89 |   24236169 |  -3456.302 |  -4115.108 |  140.948 |   30.484 |  0.62 |   0.507 |   0.507 |      0 |
 |         90 |   24511580 |  -3456.302 |  -4138.010 |  104.508 |   30.276 |  0.62 |   0.588 |   0.588 |      0 |
 |         91 |   24786991 |  -3456.302 |  -4017.319 |   90.967 |   30.000 |  0.64 |   0.638 |   0.638 |      0 |
 |         92 |   25062402 |  -3456.302 |  -3917.830 |  105.758 |   29.689 |  0.66 |   0.432 |   0.432 |      0 |
 |         93 |   25337813 |  -3456.302 |  -3966.360 |   93.475 |   29.426 |  0.66 |   0.395 |   0.395 |      0 |
 |         94 |   25613224 |  -3456.302 |  -3980.278 |   93.968 |   29.135 |  0.65 |   0.485 |   0.485 |      0 |
 |         95 |   25888635 |  -3456.302 |  -3957.133 |   98.101 |   28.851 |  0.65 |   0.504 |   0.504 |      0 |
