Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Tue Apr 15 02:01:41 2025


*** MCMC Parameters ***

Seed                         : 1744707681
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 82780
  Initial temperature c0     : 111.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 50000000
Iterations                   : 1215752192
Sample frequency             : 1000
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 60000
  Nmmax                      : 60000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |         70 |   17135392 |  -3139.798 |  -3600.991 |   93.963 |   36.164 |  0.66 |   0.525 |   0.525 |      0 |
 |         71 |   17383731 |  -3139.798 |  -3737.508 |  145.032 |   35.727 |  0.63 |   0.552 |   0.552 |      0 |
 |         72 |   17632070 |  -3139.798 |  -3658.726 |   97.274 |   35.450 |  0.65 |   0.545 |   0.545 |      0 |
 |         73 |   17880409 |  -3139.798 |  -3671.150 |  102.692 |   35.044 |  0.64 |   0.579 |   0.579 |      0 |
 |         74 |   18128748 |  -3139.798 |  -3656.380 |  110.083 |   34.668 |  0.64 |   0.489 |   0.489 |      0 |
 |         75 |   18377087 |  -3139.798 |  -3718.997 |  108.900 |   34.325 |  0.63 |   0.371 |   0.371 |      0 |
 |         76 |   18625426 |  -3139.798 |  -3644.549 |  113.680 |   33.984 |  0.65 |   0.525 |   0.525 |      0 |
 |         77 |   18873765 |  -3139.798 |  -3808.096 |  132.380 |   33.665 |  0.61 |   0.449 |   0.449 |      0 |
 |         78 |   19122104 |  -3139.798 |  -3903.023 |   73.015 |   33.395 |  0.58 |   0.486 |   0.486 |      0 |
 |         79 |   19370443 |  -3139.798 |  -3745.651 |  102.204 |   32.916 |  0.62 |   0.421 |   0.421 |      0 |
 |         80 |   19618782 |  -3139.798 |  -3659.653 |   95.839 |   32.583 |  0.64 |   0.459 |   0.459 |      0 |
 |         81 |   19867121 |  -3139.798 |  -3596.972 |  102.356 |   32.235 |  0.65 |   0.434 |   0.434 |      0 |
 |         82 |   20115460 |  -3139.798 |  -3607.347 |   72.129 |   31.916 |  0.65 |   0.444 |   0.444 |      0 |
 |         83 |   20363799 |  -3139.798 |  -3757.358 |   95.225 |   31.473 |  0.61 |   0.500 |   0.500 |      0 |
 |         84 |   20612138 |  -3139.798 |  -3670.090 |  124.114 |   31.146 |  0.63 |   0.407 |   0.407 |      0 |
 |         85 |   20860477 |  -3139.798 |  -3712.003 |  119.231 |   30.900 |  0.62 |   0.451 |   0.451 |      0 |
 |         86 |   21108816 |  -3139.798 |  -3865.139 |   93.739 |   30.647 |  0.59 |   0.431 |   0.431 |      0 |
 |         87 |   21357155 |  -3139.798 |  -3666.109 |  108.646 |   30.332 |  0.63 |   0.506 |   0.506 |      0 |
 |         88 |   21605494 |  -3139.798 |  -3622.239 |   78.748 |   30.066 |  0.64 |   0.510 |   0.510 |      0 |
 |         89 |   21853833 |  -3139.798 |  -3715.406 |   91.929 |   29.705 |  0.62 |   0.538 |   0.538 |      0 |
 |         90 |   22102172 |  -3139.798 |  -3680.168 |  101.499 |   29.404 |  0.63 |   0.429 |   0.429 |      0 |
 |         91 |   22350511 |  -3139.798 |  -3728.727 |   81.144 |   29.135 |  0.62 |   0.443 |   0.443 |      0 |
 |         92 |   22598850 |  -3139.798 |  -3703.804 |   83.266 |   28.807 |  0.62 |   0.419 |   0.419 |      0 |
 |         93 |   22847189 |  -3139.798 |  -3603.276 |  118.821 |   28.494 |  0.65 |   0.413 |   0.413 |      0 |
 |         94 |   23095528 |  -3139.798 |  -3579.453 |  115.040 |   28.278 |  0.65 |   0.499 |   0.499 |      0 |
 |         95 |   23343867 |  -3139.798 |  -3570.156 |  104.642 |   28.059 |  0.65 |   0.478 |   0.478 |      0 |
 |         96 |   23592206 |  -3139.798 |  -3704.755 |   97.909 |   27.822 |  0.62 |   0.537 |   0.537 |      0 |
 |         97 |   23840545 |  -3139.798 |  -3676.049 |   86.152 |   27.573 |  0.63 |   0.535 |   0.535 |      0 |
 |         98 |   24088884 |  -3139.798 |  -3656.215 |   79.191 |   27.296 |  0.63 |   0.483 |   0.483 |      0 |
 |         99 |   24337223 |  -3139.798 |  -3564.186 |  109.695 |   27.000 |  0.65 |   0.632 |   0.632 |      0 |
 |        100 |   24585562 |  -3139.798 |  -3594.350 |  115.387 |   26.790 |  0.64 |   0.447 |   0.447 |      0 |
 |        101 |   24833901 |  -3139.798 |  -3664.334 |   99.489 |   26.594 |  0.62 |   0.507 |   0.507 |      0 |
 |        102 |   25082240 |  -3139.798 |  -3675.015 |  144.416 |   26.370 |  0.62 |   0.464 |   0.464 |      0 |
 |        103 |   25330579 |  -3139.798 |  -3676.586 |   96.516 |   26.218 |  0.62 |   0.453 |   0.453 |      0 |
 |        104 |   25578918 |  -3139.798 |  -3750.835 |   77.764 |   25.994 |  0.60 |   0.453 |   0.453 |      0 |
 |        105 |   25827257 |  -3139.798 |  -3706.126 |   93.906 |   25.721 |  0.62 |   0.425 |   0.425 |      0 |
 |        106 |   26075596 |  -3139.798 |  -3637.896 |  102.826 |   25.499 |  0.62 |   0.462 |   0.462 |      0 |
 |        107 |   26323935 |  -3139.798 |  -3578.015 |  105.761 |   25.299 |  0.64 |   0.418 |   0.418 |      0 |
 |        108 |   26572274 |  -3139.798 |  -3669.733 |   74.100 |   25.109 |  0.62 |   0.463 |   0.463 |      0 |
 |        109 |   26820613 |  -3139.798 |  -3607.925 |   99.229 |   24.841 |  0.64 |   0.375 |   0.375 |      0 |
 |        110 |   27068952 |  -3139.798 |  -3593.939 |  102.895 |   24.645 |  0.64 |   0.432 |   0.432 |      0 |
 |        111 |   27317291 |  -3139.798 |  -3602.970 |   82.913 |   24.459 |  0.64 |   0.410 |   0.410 |      0 |
 |        112 |   27565630 |  -3139.798 |  -3621.451 |   78.649 |   24.232 |  0.63 |   0.497 |   0.497 |      0 |
 |        113 |   27813969 |  -3139.798 |  -3673.370 |   87.813 |   23.997 |  0.61 |   0.463 |   0.463 |      0 |
 |        114 |   28062308 |  -3139.798 |  -3678.391 |   90.072 |   23.791 |  0.62 |   0.517 |   0.517 |      0 |
 |        115 |   28310647 |  -3139.798 |  -3646.241 |   80.156 |   23.593 |  0.62 |   0.486 |   0.486 |      0 |
 |        116 |   28558986 |  -3139.798 |  -3678.554 |   93.283 |   23.374 |  0.61 |   0.497 |   0.497 |      0 |
 |        117 |   28807325 |  -3139.798 |  -3589.413 |  101.335 |   23.189 |  0.63 |   0.546 |   0.546 |      0 |
 |        118 |   29055664 |  -3139.798 |  -3663.353 |  113.061 |   23.022 |  0.62 |   0.445 |   0.445 |      0 |
 |        119 |   29304003 |  -3139.798 |  -3659.771 |   91.764 |   22.874 |  0.62 |   0.443 |   0.443 |      0 |
 |        120 |   29552342 |  -3139.798 |  -3704.841 |   99.909 |   22.694 |  0.61 |   0.466 |   0.466 |      0 |
 |        121 |   29800681 |  -3139.798 |  -3817.829 |   73.498 |   22.532 |  0.58 |   0.456 |   0.456 |      0 |
 |        122 |   30049020 |  -3139.798 |  -3721.650 |   94.814 |   22.314 |  0.60 |   0.496 |   0.496 |      0 |
 |        123 |   30297359 |  -3139.798 |  -3636.933 |   73.351 |   22.149 |  0.62 |   0.464 |   0.464 |      0 |
 |        124 |   30545698 |  -3139.798 |  -3674.663 |  119.947 |   21.938 |  0.61 |   0.438 |   0.438 |      0 |
