Tree,Lat,Lat ',Long,Long '
CS0533,37,30.869,115,16.775
CS0534,37,30.873,115,16.800
CS0535,37,30.867,115,16.821
CS0536,37,30.963,115,16.467
CS0537,37,30.964,115,16.467
CS0538,37,30.961,115,16.468
CS0539,37,30.956,115,16.458
CS0540,37,30.956,115,16.458
CS0541,37,30.973,115,16.508
CS0542,37,30.997,115,16.497
CS0543,37,31.101,115,16.181
CS0544,37,31.094,115,16.172
CS0545,37,31.094,115,16.164
CS0546,37,31.092,115,16.151
CS0547,37,31.104,115,16.159
CS0548,37,31.104,115,16.149
CS0549,37,31.100,115,16.147
CS0550,37,31.087,115,16.149
CS0551,37,31.173,115,15.837
CS0700,37,30.992,115,18.079
CS0701,37,31.012,115,18.086
CS0702,37,30.788,115,18.343
CS0703,37,30.580,115,18.546
CS0704,37,30.575,115,18.541
CS0705,37,30.392,115,18.795
CS0706,37,30.387,115,18.789
CS0707,37,30.375,115,18.768
CS0708,37,30.379,115,18.756
CS0709,37,30.379,115,18.803
CS0710,37,30.383,115,18.805
CS0711,37,30.386,115,18.799
CS0712,37,30.407,115,18.791
CS0713,37,30.407,115,18.782
CS0714,37,30.408,115,18.770
CS7000,37,30.192,115,19.130
CS7001,37,27.904,115,19.409
CV0001,37,35.007,117,44.003
CV0002,37,34.990,117,44.978
CV0003,37,34.979,117,43.933
CV0004,37,34.940,117,43.957
CV0005,37,34.936,117,43.970
CV0006,37,34.918,117,43.990
CV0007,37,34.906,117,43.962
CV0008,37,34.904,117,43.970
CV0009,37,34.904,117,43.996
CV0010,37,34.407,117,44.008
DMV001,37,36.565,114,47.955
DMV002,37,36.537,114,48.030
DMV003,37,36.621,114,47.914
DMV004,37,36.635,114,47.990
DMV005,37,36.611,114,48.033
DMV006,37,36.668,114,48.105
DMV007,37,36.725,114,48.119
DMV008,37,36.719,114,48.216
DMV009,37,36.779,114,48.176
DMV010,37,36.782,114,48.146
DMV011,37,36.812,114,48.094
DMV012,37,36.490,114,48.261
DMV013,37,36.485,114,48.340
DMV014,37,36.561,114,48.504
DMV015,37,36.656,114,48.606
DMV016,37,36.663,114,48.607
DMV017,37,36.686,114,48.632
DMV018,37,36.682,114,48.634
DMV019,37,36.700,114,48.638
DMV020,37,36.711,114,48.638
DMV021,37,36.711,114,48.622
DMV022,37,36.714,114,48.661
DMV023,37,36.760,114,48.356
DMV024,37,36.489,114,47.792
DMV025,37,36.453,114,47.784
DMV026,37,36.424,114,47.820
DMV027,37,36.440,114,47.840
DMV028,37,36.449,114,47.879
DMV029,37,36.467,114,47.859
DMV030,37,36.496,114,47.873
DMV031,37,36.493,114,47.960
DMV032,37,36.502,114,47.995
DMV033,37,36.495,114,47.993
DMV034,37,36.482,114,48.035
DMV035,37,36.487,114,48.046
DMV036,37,36.481,114,48.049
DMV037,37,36.506,114,48.071
DMV038,37,36.530,114,48.099
DMV039,37,36.513,114,47.667
DMV040,37,36.515,114,47.631
DMV041,37,36.506,114,47.626
DMV042,37,36.501,114,47.633
DMV043,37,36.493,114,47.612
DMV044,37,36.479,114,47.600
DMV045,37,36.476,114,47.600
DMV046,37,36.481,114,47.618
DMV047,37,36.493,114,47.634
DMV048,37,36.489,114,47.656
DMV049,37,36.469,114,47.664
DMV050,37,36.619,114,47.823
DMV051,37,36.663,114,48.086
DMV052,37,30.613,114,52.479
DMV053,37,30.578,114,52.491
DMV054,37,30.536,114,52.537
DMV055,37,30.524,114,52.556
DMV056,37,30.305,114,52.629
DMV057,37,30.296,114,52.678
DMV058,37,30.269,114,52.700
DMV059,37,30.555,114,52.690
DMV060,37,30.628,114,52.562
DMV061,37,30.515,114,52.489
DMV100,37,36.591,114,47.926
DMV101,37,36.504,114,48.003
DMV102,37,36.508,114,48.102
DMV103,37,36.525,114,48.119
DMV104,37,36.534,114,48.132
DMV105,37,36.497,114,48.348
DMV106,37,36.525,114,48.349
DMV107,37,36.365,114,48.203
DMV108,37,36.396,114,48.132
DMV109,37,32.683,114,47.959
DMV110,37,32.677,114,47.956
DMV111,37,32.694,114,47.940
DMV112,37,32.710,114,47.930
DMV113,37,32.729,114,47.950
DMV114,37,32.648,114,48.002
DMV115,37,32.663,114,48.022
DMV116,37,32.675,114,48.021
DMV117,37,32.691,114,48.069
DMV118,37,32.697,114,48.082
DMV119,37,32.689,114,48.093
DMV120,37,33.025,114,48.235
DMV121,37,33.030,114,48.241
DMV122,37,33.031,114,48.244
DMV123,37,33.038,114,48.250
DMV124,37,33.040,114,48.231
DMV125,37,33.048,114,48.209
DMV126,37,33.065,114,48.218
DMV127,37,33.066,114,48.175
DMV128,37,33.063,114,48.176
DMV129,37,33.060,114,48.175
DMV130,37,33.060,114,48.159
DMV131,37,33.044,114,48.127
DMV132,37,31.664,114,48.963
DMV133,37,31.671,114,48.963
DMV134,37,31.646,114,48.939
DMV135,37,31.645,114,48.929
DMV136,37,31.667,114,48.913
DMV137,37,31.667,114,48.877
DMV138,37,31.673,114,48.876
DMV139,37,31.682,114,48.866
DMV140,37,31.702,114,48.823
DMV141,37,36.616,114,47.923
