numb,Tree,missing,Pop,%Brev_Run1,%Brev_Run2,%Brev Ave
1535,TV5254,0,5,0.714,0.714,0.714
1536,TV5255,0,5,0.616,0.615,0.6155
1537,TV5256,0,5,0.878,0.877,0.8775
1538,TV5257,0,5,0.884,0.883,0.8835
1539,TV5258,0,5,0.776,0.776,0.776
1540,TV5259,0,5,0.926,0.926,0.926
1541,TV5260,0,5,0.303,0.302,0.3025
1542,TV5261,0,5,0.87,0.869,0.8695
1543,TV5262,0,5,0.864,0.865,0.8645
1544,TV5263,-20,5,0.905,0.905,0.905
1545,TV5264,-30,5,0.905,0.905,0.905
1546,TV5265,-30,5,0.643,0.642,0.6425
1547,TV5266,0,5,0.537,0.537,0.537
1548,TV5267,-25,5,0.798,0.798,0.798
1549,TV5268,0,5,0.101,0.101,0.101
1550,TV5269,0,5,0.512,0.512,0.512
1551,TV5270,0,5,0.923,0.922,0.9225
1552,TV5271,-20,5,0.306,0.306,0.306
1553,TV5272,-20,5,0.305,0.305,0.305
1554,TV5273,0,5,0.841,0.841,0.841
1555,TV5274,0,5,0.927,0.927,0.927
1556,TV5275,0,5,0.108,0.108,0.108
1557,TV5276,-40,5,0.871,0.87,0.8705
1558,TV5277,-10,5,0.871,0.87,0.8705
1559,TV5278,0,5,0.192,0.192,0.192
1560,TV5279,0,5,0.894,0.894,0.894
1561,TV5280,0,5,0.817,0.816,0.8165
1562,TV5281,0,5,0.891,0.891,0.891
1563,TV5282,-30,5,0.76,0.761,0.7605
1564,TV5283,-30,5,0.894,0.894,0.894
1565,TV5284,0,5,0.219,0.22,0.2195
1566,TV5285,0,5,0.509,0.508,0.5085
1567,TV5286,-30,5,0.933,0.932,0.9325
1568,TV5287,0,5,0.751,0.752,0.7515
1569,TV5288,0,5,0.899,0.9,0.8995
1570,TV5289,-5,5,0.608,0.61,0.609
1571,TV5290,0,5,0.95,0.95,0.95
1572,TV5291,0,5,0.798,0.797,0.7975
1573,TV5292,0,5,0.771,0.77,0.7705
1574,TV5293,0,5,0.7,0.699,0.6995
1575,TV5294,0,5,0.713,0.713,0.713
1576,TV5295,0,5,0.328,0.328,0.328
1577,TV5296,0,5,0.82,0.822,0.821
1578,TV5297,0,5,0.764,0.764,0.764
1579,TV5298,0,5,0.617,0.618,0.6175
1580,TV5299,0,5,0.957,0.956,0.9565
1581,TV5300,0,5,0.895,0.895,0.895
1582,TV5301,0,5,0.687,0.686,0.6865
1583,TV5302,-30,5,0.608,0.608,0.608
1584,TV5303,0,5,0.942,0.942,0.942
1585,TV5304,0,5,0.946,0.946,0.946
1586,TV5305,0,5,0.924,0.924,0.924
1587,TV5306,0,5,0.88,0.879,0.8795
1588,TV5307,0,5,0.759,0.759,0.759
1589,TV5308,-30,5,0.81,0.811,0.8105
1590,TV5309,-30,5,0.919,0.919,0.919
1591,TV5310,0,5,0.746,0.745,0.7455
1592,TV5311,-5,5,0.955,0.955,0.955
