Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Nov 23 15:37:57 2024


*** MCMC Parameters ***

Seed                         : 1732401457
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 91804
  Initial temperature c0     : 114.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 10000
  Nmmax                      : 10000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |        100 |   27265690 |  -3491.885 |  -3995.903 |   90.392 |   29.273 |  0.65 |   0.544 |   0.544 |      0 |
 |        101 |   27541101 |  -3491.885 |  -3950.024 |  101.204 |   28.975 |  0.66 |   0.493 |   0.493 |      0 |
 |        102 |   27816512 |  -3491.885 |  -4068.451 |  118.108 |   28.714 |  0.63 |   0.415 |   0.415 |      0 |
 |        103 |   28091923 |  -3491.885 |  -4133.746 |  107.833 |   28.494 |  0.62 |   0.410 |   0.410 |      0 |
 |        104 |   28367334 |  -3491.885 |  -4049.393 |  151.940 |   28.256 |  0.64 |   0.491 |   0.491 |      0 |
 |        105 |   28642745 |  -3491.885 |  -3969.231 |   89.003 |   28.090 |  0.65 |   0.535 |   0.535 |      0 |
 |        106 |   28918156 |  -3491.885 |  -3969.843 |   95.300 |   27.812 |  0.64 |   0.559 |   0.559 |      0 |
 |        107 |   29193567 |  -3491.885 |  -3899.994 |   89.539 |   27.556 |  0.66 |   0.533 |   0.533 |      0 |
 |        108 |   29468978 |  -3491.885 |  -4061.874 |  108.695 |   27.289 |  0.62 |   0.467 |   0.467 |      0 |
 |        109 |   29744389 |  -3491.885 |  -4081.798 |   86.362 |   27.073 |  0.63 |   0.495 |   0.495 |      0 |
 |        110 |   30019800 |  -3491.885 |  -4009.215 |  101.692 |   26.806 |  0.63 |   0.463 |   0.463 |      0 |
 |        111 |   30295211 |  -3491.885 |  -3920.810 |   85.658 |   26.584 |  0.65 |   0.454 |   0.454 |      0 |
 |        112 |   30570622 |  -3491.885 |  -4070.806 |   89.323 |   26.324 |  0.62 |   0.457 |   0.457 |      0 |
 |        113 |   30846033 |  -3491.885 |  -4108.428 |   87.345 |   26.080 |  0.62 |   0.499 |   0.499 |      0 |
 |        114 |   31121444 |  -3491.885 |  -4018.873 |  120.893 |   25.835 |  0.63 |   0.445 |   0.445 |      0 |
 |        115 |   31396855 |  -3491.885 |  -4039.037 |  101.157 |   25.661 |  0.63 |   0.489 |   0.489 |      0 |
 |        116 |   31672266 |  -3491.885 |  -4051.913 |  114.041 |   25.455 |  0.63 |   0.441 |   0.441 |      0 |
 |        117 |   31947677 |  -3491.885 |  -4068.794 |   85.758 |   25.276 |  0.62 |   0.412 |   0.412 |      0 |
 |        118 |   32223088 |  -3491.885 |  -4145.969 |  117.265 |   25.042 |  0.60 |   0.478 |   0.478 |      0 |
 |        119 |   32498499 |  -3491.885 |  -4041.802 |  144.164 |   24.873 |  0.62 |   0.471 |   0.471 |      0 |
 |        120 |   32773910 |  -3491.885 |  -3969.206 |   98.295 |   24.737 |  0.64 |   0.385 |   0.385 |      0 |
 |        121 |   33049321 |  -3491.885 |  -3972.890 |   96.555 |   24.541 |  0.64 |   0.559 |   0.559 |      0 |
 |        122 |   33324732 |  -3491.885 |  -3934.701 |  113.539 |   24.345 |  0.64 |   0.472 |   0.472 |      0 |
 |        123 |   33600143 |  -3491.885 |  -4036.490 |   86.270 |   24.180 |  0.62 |   0.476 |   0.476 |      0 |
 |        124 |   33875554 |  -3491.885 |  -4011.117 |  120.752 |   23.966 |  0.63 |   0.420 |   0.420 |      0 |
 |        125 |   34150965 |  -3491.885 |  -3991.929 |  100.909 |   23.816 |  0.63 |   0.511 |   0.511 |      0 |
 |        126 |   34426376 |  -3491.885 |  -3965.640 |   98.182 |   23.639 |  0.63 |   0.539 |   0.539 |      0 |
 |        127 |   34701787 |  -3491.885 |  -4048.481 |   91.112 |   23.460 |  0.62 |   0.447 |   0.447 |      0 |
 |        128 |   34977198 |  -3491.885 |  -4090.134 |   91.535 |   23.269 |  0.61 |   0.441 |   0.441 |      0 |
 |        129 |   35252609 |  -3491.885 |  -4017.199 |   95.739 |   23.083 |  0.63 |   0.538 |   0.538 |      0 |
 |        130 |   35528020 |  -3491.885 |  -4098.884 |  106.577 |   22.907 |  0.61 |   0.497 |   0.497 |      0 |
 |        131 |   35803431 |  -3491.885 |  -4038.765 |   84.389 |   22.752 |  0.62 |   0.469 |   0.469 |      0 |
 |        132 |   36078842 |  -3491.885 |  -4043.774 |   85.172 |   22.559 |  0.62 |   0.398 |   0.398 |      0 |
 |        133 |   36354253 |  -3491.885 |  -4002.944 |   94.470 |   22.371 |  0.63 |   0.533 |   0.533 |      0 |
 |        134 |   36629664 |  -3491.885 |  -3973.032 |   99.920 |   22.203 |  0.63 |   0.424 |   0.424 |      0 |
 |        135 |   36905075 |  -3491.885 |  -4013.959 |   94.640 |   22.048 |  0.62 |   0.408 |   0.408 |      0 |
 |        136 |   37180486 |  -3491.885 |  -3920.055 |  106.184 |   21.886 |  0.64 |   0.458 |   0.458 |      0 |
 |        137 |   37455897 |  -3491.885 |  -4176.283 |   78.786 |   21.743 |  0.59 |   0.519 |   0.519 |      0 |
 |        138 |   37731308 |  -3491.885 |  -4069.793 |   98.307 |   21.554 |  0.62 |   0.541 |   0.541 |      0 |
 |        139 |   38006719 |  -3491.885 |  -3986.993 |   83.672 |   21.405 |  0.63 |   0.463 |   0.463 |      0 |
 |        140 |   38282130 |  -3491.885 |  -3981.503 |  101.322 |   21.233 |  0.63 |   0.475 |   0.475 |      0 |
 |        141 |   38557541 |  -3491.885 |  -3941.577 |   90.991 |   21.092 |  0.64 |   0.434 |   0.434 |      0 |
 |        142 |   38832952 |  -3486.191 |  -3916.820 |  103.337 |   20.938 |  0.64 |   0.582 |   0.582 |      0 |
 |        143 |   39108363 |  -3486.191 |  -3893.731 |   90.544 |   20.804 |  0.64 |   0.497 |   0.497 |      0 |
 |        144 |   39383774 |  -3486.191 |  -3984.923 |  111.296 |   20.654 |  0.63 |   0.416 |   0.416 |      0 |
 |        145 |   39659185 |  -3486.191 |  -3852.022 |   94.774 |   20.532 |  0.65 |   0.566 |   0.566 |      0 |
 |        146 |   39934596 |  -3486.191 |  -4014.429 |  147.677 |   20.392 |  0.62 |   0.470 |   0.470 |      0 |
 |        147 |   40210007 |  -3486.191 |  -4005.621 |   89.302 |   20.303 |  0.62 |   0.455 |   0.455 |      0 |
 |        148 |   40485418 |  -3486.191 |  -3908.154 |   96.673 |   20.157 |  0.63 |   0.470 |   0.470 |      0 |
 |        149 |   40760829 |  -3486.191 |  -4085.802 |   96.079 |   20.025 |  0.60 |   0.442 |   0.442 |      0 |
 |        150 |   41036240 |  -3486.191 |  -3907.473 |  102.073 |   19.893 |  0.63 |   0.484 |   0.484 |      0 |
 |        151 |   41311651 |  -3486.191 |  -3886.425 |  107.523 |   19.771 |  0.64 |   0.433 |   0.433 |      0 |
 |        152 |   41587062 |  -3486.191 |  -3906.608 |  102.566 |   19.656 |  0.64 |   0.437 |   0.437 |      0 |
 |        153 |   41862473 |  -3486.191 |  -3917.737 |   88.006 |   19.537 |  0.63 |   0.497 |   0.497 |      0 |
 |        154 |   42137884 |  -3486.191 |  -3903.972 |  107.311 |   19.400 |  0.64 |   0.552 |   0.552 |      0 |
 |        155 |   42413295 |  -3486.191 |  -3873.059 |   91.023 |   19.289 |  0.64 |   0.530 |   0.530 |      0 |
 |        156 |   42688706 |  -3486.191 |  -3912.840 |  112.965 |   19.160 |  0.63 |   0.496 |   0.496 |      0 |
 |        157 |   42964117 |  -3486.191 |  -3859.368 |  106.704 |   19.058 |  0.64 |   0.457 |   0.457 |      0 |
 |        158 |   43239528 |  -3486.191 |  -3938.336 |   99.617 |   18.950 |  0.63 |   0.508 |   0.508 |      0 |
 |        159 |   43514939 |  -3486.191 |  -3906.590 |  104.249 |   18.836 |  0.63 |   0.409 |   0.409 |      0 |
 |        160 |   43790350 |  -3486.191 |  -3903.683 |  113.240 |   18.729 |  0.64 |   0.499 |   0.499 |      0 |
 |        161 |   44065761 |  -3486.191 |  -3904.265 |  118.165 |   18.631 |  0.63 |   0.465 |   0.465 |      0 |
 |        162 |   44341172 |  -3486.191 |  -3957.651 |  138.104 |   18.538 |  0.62 |   0.407 |   0.407 |      0 |
 |        163 |   44616583 |  -3486.191 |  -3994.423 |  106.025 |   18.459 |  0.61 |   0.406 |   0.406 |      0 |
 |        164 |   44891994 |  -3486.191 |  -3922.433 |  110.342 |   18.358 |  0.62 |   0.465 |   0.465 |      0 |
 |        165 |   45167405 |  -3486.191 |  -3955.893 |   92.330 |   18.261 |  0.62 |   0.456 |   0.456 |      0 |
 |        166 |   45442816 |  -3486.191 |  -3962.160 |  111.402 |   18.147 |  0.62 |   0.420 |   0.420 |      0 |
 |        167 |   45718227 |  -3486.191 |  -3924.017 |  137.417 |   18.054 |  0.62 |   0.472 |   0.472 |      0 |
 |        168 |   45993638 |  -3486.191 |  -4079.652 |  106.877 |   17.979 |  0.60 |   0.504 |   0.504 |      0 |
 |        169 |   46269049 |  -3486.191 |  -3956.472 |  121.173 |   17.883 |  0.62 |   0.586 |   0.586 |      0 |
 |        170 |   46544460 |  -3486.191 |  -3869.022 |   77.499 |   17.800 |  0.63 |   0.488 |   0.488 |      0 |
 |        171 |   46819871 |  -3486.191 |  -3875.584 |   86.613 |   17.671 |  0.63 |   0.528 |   0.528 |      0 |
 |        172 |   47095282 |  -3486.191 |  -3908.261 |  103.994 |   17.557 |  0.62 |   0.519 |   0.519 |      0 |
 |        173 |   47370693 |  -3486.191 |  -3950.552 |   90.228 |   17.463 |  0.62 |   0.471 |   0.471 |      0 |
 |        174 |   47646104 |  -3486.191 |  -3956.747 |  139.402 |   17.356 |  0.62 |   0.544 |   0.544 |      0 |
 |        175 |   47921515 |  -3486.191 |  -3871.636 |  103.131 |   17.288 |  0.63 |   0.478 |   0.478 |      0 |
 |        176 |   48196926 |  -3486.191 |  -3881.468 |  118.699 |   17.197 |  0.63 |   0.483 |   0.483 |      0 |
 |        177 |   48472337 |  -3486.191 |  -3835.298 |   93.996 |   17.118 |  0.63 |   0.453 |   0.453 |      0 |
 |        178 |   48747748 |  -3486.191 |  -3923.912 |  111.921 |   17.019 |  0.62 |   0.447 |   0.447 |      0 |
 |        179 |   49023159 |  -3486.191 |  -3893.021 |   94.679 |   16.937 |  0.62 |   0.470 |   0.470 |      0 |
 |        180 |   49298570 |  -3471.679 |  -3820.008 |  130.434 |   16.842 |  0.64 |   0.471 |   0.471 |      0 |
 |        181 |   49573981 |  -3471.679 |  -3870.172 |   89.230 |   16.773 |  0.63 |   0.459 |   0.459 |      0 |
 |        182 |   49849392 |  -3471.679 |  -3888.315 |   86.460 |   16.673 |  0.63 |   0.593 |   0.593 |      0 |
 |        183 |   50124803 |  -3471.679 |  -3861.790 |  103.090 |   16.572 |  0.63 |   0.689 |   0.689 |      0 |
 |        184 |   50400214 |  -3382.768 |  -3799.753 |  157.439 |   16.488 |  0.64 |   0.475 |   0.475 |      0 |
 |        185 |   50675625 |  -3382.768 |  -3900.552 |  115.797 |   16.433 |  0.62 |   0.496 |   0.496 |      0 |
 |        186 |   50951036 |  -3382.768 |  -3863.783 |   76.868 |   16.359 |  0.63 |   0.532 |   0.532 |      0 |
 |        187 |   51226447 |  -3382.768 |  -3775.846 |   89.517 |   16.249 |  0.64 |   0.452 |   0.452 |      0 |
 |        188 |   51501858 |  -3382.768 |  -3869.102 |   95.224 |   16.156 |  0.63 |   0.467 |   0.467 |      0 |
 |        189 |   51777269 |  -3382.768 |  -3766.161 |   98.688 |   16.070 |  0.65 |   0.489 |   0.489 |      0 |
 |        190 |   52052680 |  -3382.768 |  -3874.003 |  101.227 |   15.987 |  0.63 |   0.571 |   0.571 |      0 |
 |        191 |   52328091 |  -3382.768 |  -3855.397 |   97.994 |   15.907 |  0.63 |   0.452 |   0.452 |      0 |
 |        192 |   52603502 |  -3382.768 |  -3853.938 |  100.661 |   15.825 |  0.62 |   0.479 |   0.479 |      0 |
