Tree,parent_id,parent_x,parent_y,offspring_x,offspring_y,selfed
TV4811,TV4826,-115.51096666666666,37.479283333333335,-115.51235,37.480216666666664,FALSE
TV4823,TV4810,-115.51221666666666,37.480466666666665,-115.51115,37.47898333333333,FALSE
TV4833,TV4830,-115.50746666666667,37.47643333333333,-115.50781666666667,37.4764,FALSE
TV5039,TV5080,-115.49696666666667,37.49118333333333,-115.49123333333333,37.48591666666667,FALSE
TV5052,TV5049,-115.4927,37.486916666666666,-115.49241666666667,37.487033333333336,FALSE
TV5080,TV5076,-115.4972,37.49085,-115.49696666666667,37.49118333333333,FALSE
TV5081,TV3049,-115.49573333333333,37.49191666666667,-115.49708333333334,37.49155,FALSE
TV5131,TV4525,-115.51761666666667,37.4755,-115.51856666666667,37.4758,FALSE
TV5139,TV4252,-115.52376666666666,37.47658333333333,-115.52308333333333,37.47761666666667,FALSE
TV5145,TV5167,-115.48995,37.4648,-115.49063333333334,37.46495,FALSE
TV5147,TV5148,-115.49043333333333,37.46491666666667,-115.49043333333333,37.46491666666667,FALSE
TV5157,TV5156,-115.48978333333334,37.46476666666667,-115.48978333333334,37.46476666666667,TRUE
TV5176,TV5175,-115.49106666666667,37.464333333333336,-115.49106666666667,37.46446666666667,TRUE
TV5229,TV5225,-115.51581666666667,37.466883333333335,-115.51476666666667,37.4667,FALSE
TV5232,TV5227,-115.51486666666666,37.4666,-115.5148,37.466766666666665,FALSE
TV5235,TV5257,-115.50851666666667,37.46625,-115.51446666666666,37.46635,FALSE
TV5237,TV5238,-115.51228333333333,37.465316666666666,-115.51231666666666,37.46525,FALSE
TV5238,TV4290,-115.51606666666666,37.46985,-115.51228333333333,37.465316666666666,FALSE
TV5239,TV5237,-115.51231666666666,37.46525,-115.51241666666667,37.465266666666665,FALSE
TV5240,TV5237,-115.51231666666666,37.46525,-115.5125,37.4655,FALSE
TV5254,TV5252,-115.50833333333334,37.4659,-115.50825,37.46601666666667,FALSE
TV5255,TV5251,-115.5084,37.46593333333333,-115.5084,37.46618333333333,FALSE
TV5256,TV5250,-115.50838333333333,37.46588333333333,-115.5084,37.46621666666667,FALSE
TV5257,TV4558,-115.51021666666666,37.470283333333334,-115.50851666666667,37.46625,FALSE
TV5262,TV5259,-115.48436666666667,37.44631666666667,-115.48388333333334,37.446466666666666,FALSE
TV5263,TV5264,-115.4838,37.446466666666666,-115.4838,37.446466666666666,FALSE
TV5274,TV5279,-115.48365,37.447633333333336,-115.48378333333334,37.448,FALSE
TV5303,TV5311,-115.51158333333333,37.478033333333336,-115.51128333333334,37.47813333333333,FALSE
TV3017,TV2271,-115.43628333333334,37.41943333333333,-115.5061,37.495533333333334,FALSE
TV4316,TV4317,-115.5107,37.46626666666667,-115.51091666666667,37.46618333333333,FALSE
TV4546,TV4304,-115.51258333333334,37.467483333333334,-115.51333333333334,37.47295,FALSE
TV4754,TV4755,-115.52385,37.48925,-115.5255,37.490883333333336,FALSE
TV4766,TV4787,-115.5175,37.48381666666667,-115.5186,37.485283333333335,FALSE
TV4823,TV4796,-115.51601666666667,37.4831,-115.51115,37.47898333333333,FALSE
